Entity,Code,Year,Deaths - Sex: all - Age: 100+ - Variant: estimates,Deaths - Sex: all - Age: 90-99 - Variant: estimates,Deaths - Sex: all - Age: 80-89 - Variant: estimates,Deaths - Sex: all - Age: 70-79 - Variant: estimates,Deaths - Sex: all - Age: 60-69 - Variant: estimates,Deaths - Sex: all - Age: 50-59 - Variant: estimates,Deaths - Sex: all - Age: 40-49 - Variant: estimates,Deaths - Sex: all - Age: 30-39 - Variant: estimates,Deaths - Sex: all - Age: 20-29 - Variant: estimates,Deaths - Sex: all - Age: 10-19 - Variant: estimates,Deaths - Sex: all - Age: 0-9 - Variant: estimates
Americas (UN),,1955,2630,77238,390463,623440,562563,392254,265042,190772,179392,125500,1724788
Americas (UN),,1956,2730,79281,399087,634318,571061,397903,265689,190850,177517,125035,1720333
Americas (UN),,1957,2938,82535,411055,657678,593211,409246,268260,193435,175290,125871,1713431
Americas (UN),,1958,2845,84005,414264,667387,590294,410606,265832,192751,172139,124953,1705645
Americas (UN),,1959,2610,84893,416801,682684,593242,415261,265548,192664,169671,125690,1690207
Americas (UN),,1960,2614,91971,434091,706001,609038,419902,268142,192763,167747,125834,1676993
Americas (UN),,1961,2662,94866,442916,710973,614836,416996,266296,192022,165783,126020,1658740
Americas (UN),,1962,2909,102142,465860,738108,631411,428517,270245,192951,166392,127846,1644873
Americas (UN),,1963,3183,110062,489408,767893,648461,440191,274552,193911,167746,130583,1631964
Americas (UN),,1964,3278,111670,495316,771307,653036,444654,277257,194342,168470,132234,1607402
Americas (UN),,1965,3493,119034,520276,788196,664735,450597,280624,194288,171090,134401,1575331
Americas (UN),,1966,3757,126005,542595,806367,676343,457878,284132,192640,171230,136803,1543893
Americas (UN),,1967,3964,129128,555292,812641,682177,460589,286307,191875,174064,138171,1509350
Americas (UN),,1968,4384,136969,587658,843608,710917,473679,294365,194401,179972,141593,1480550
Americas (UN),,1969,4612,138189,600580,849858,717071,476607,298117,195516,186000,145416,1455822
Americas (UN),,1970,4772,139566,606713,863839,724443,483922,303400,199570,195744,156534,1456343
Americas (UN),,1971,5314,149701,624085,876232,726008,477905,296495,192432,192216,146838,1393602
Americas (UN),,1972,5763,155025,641325,898487,742000,482330,297245,192687,196895,149837,1361828
Americas (UN),,1973,6313,162445,660303,904687,747614,484546,294925,193128,200502,149609,1326078
Americas (UN),,1974,6661,164166,663235,900957,747940,480682,290849,192600,202861,148546,1297381
Americas (UN),,1975,6897,164229,658899,898152,742428,478151,284007,191029,205269,145229,1259008
Americas (UN),,1976,7789,176352,678970,906755,750167,480584,282350,192307,209578,147799,1238647
Americas (UN),,1977,7975,178400,681947,911138,746060,479305,277192,193379,211610,144453,1199564
Americas (UN),,1978,8563,188779,701678,926641,754039,481717,274112,196633,216066,143337,1169747
Americas (UN),,1979,8816,192873,709122,936952,755793,481148,271438,200831,222483,142797,1139180
Americas (UN),,1980,9882,209891,748016,971750,773380,488076,272140,207447,229062,142184,1105162
Americas (UN),,1981,10254,213233,756810,979290,777069,487916,271126,210575,229072,138511,1069721
Americas (UN),,1982,10891,218919,773829,1007967,784719,486390,270046,213165,229005,136040,1044749
Americas (UN),,1983,12187,235701,805785,1039898,790037,485402,267631,211165,220154,129910,1000477
Americas (UN),,1984,13135,246673,828987,1061440,803089,482256,270361,215375,218992,126221,964675
Americas (UN),,1985,14446,263191,862709,1084559,815490,484540,276143,224380,223650,129050,938657
Americas (UN),,1986,15327,271281,881944,1092473,818373,476282,276847,228632,221280,124349,897231
