,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
61722,31599,"Richard Phillip ""Ric"" Egington",M,33.0,198.0,104.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Bronze
61729,31604,Nathan John Eglington,M,23.0,182.0,83.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold
61795,31634,Naito Ehara,M,23.0,172.0,59.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
61969,31729,Marten Eikelboom,M,30.0,185.0,75.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Silver
61977,31733,Christoph Eimer,M,27.0,183.0,80.0,Germany,GER,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Bronze
62119,31806,Lars Niclas Ekberg,M,23.0,191.0,83.0,Sweden,SWE,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Silver
62131,31813,Kim Andreas Ekdahl du Rietz,M,23.0,196.0,98.0,Sweden,SWE,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Silver
62230,31863,Oliver Oscar Emanuel Ekman Larsson,M,22.0,188.0,86.0,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
62244,31868,Emmanuel Ekpo,M,20.0,181.0,75.0,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver
62276,31881,Hans Anders Ekstrm,M,27.0,165.0,102.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Men's Two Person Keelboat,Bronze
62295,31890,Hicham El Guerrouj,M,29.0,176.0,58.0,Morocco,MAR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",Gold
